_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs,,,,,,,,,
5cf85ea5f9af8b11f3749c76,39,"Mon, 20 May 2019 01:10:04 GMT","Mon, 20 May 2019 02:55:34 GMT","Mon, 20 May 2019 02:25:55 GMT",7.886,2_39_139_28_2019-05-21 01:10:04.466161,2,CA-303,2-39-139-28,America/Los_Angeles,1133,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Tue, 21 May 2019 01:10:14 GMT","paymentRequired"":true,""requestedDeparture"":""Tue, 21 May 2019 02:10:04 GMT","""userID"":1133}]",,,,,,
5cf85ea5f9af8b11f3749c78,39,"Mon, 20 May 2019 05:25:23 GMT","Mon, 20 May 2019 14:01:09 GMT","Mon, 20 May 2019 08:22:46 GMT",13.544,2_39_79_378_2019-05-21 05:25:22.628517,2,CA-326,2-39-79-378,America/Los_Angeles,300,"[{""WhPerMile"":400","kWhRequested"":28.0,""milesRequested"":70,""minutesAvailable"":451,""modifiedAt"":""Tue, 21 May 2019 05:26:13 GMT","paymentRequired"":true,""requestedDeparture"":""Tue, 21 May 2019 12:56:23 GMT","""userID"":300}]",,,,,,
5cf9b026f9af8b1738bc2a3a,39,"Mon, 20 May 2019 13:04:09 GMT","Mon, 20 May 2019 14:19:42 GMT","Mon, 20 May 2019 14:19:37 GMT",3.994,2_39_89_25_2019-05-21 13:04:09.432614,2,CA-315,2-39-89-25,America/Los_Angeles,743,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":61,""modifiedAt"":""Tue, 21 May 2019 13:04:48 GMT","paymentRequired"":true,""requestedDeparture"":""Tue, 21 May 2019 14:05:09 GMT","""userID"":743}]",,,,,,
5cf9b026f9af8b1738bc2a3b,39,"Mon, 20 May 2019 13:31:33 GMT","Mon, 20 May 2019 18:44:54 GMT","Mon, 20 May 2019 16:57:07 GMT",17.475,2_39_88_24_2019-05-21 13:31:33.495853,2,CA-314,2-39-88-24,America/Los_Angeles,560,"[{""WhPerMile"":273","kWhRequested"":21.84,""milesRequested"":80,""minutesAvailable"":312,""modifiedAt"":""Tue, 21 May 2019 13:31:36 GMT","paymentRequired"":true,""requestedDeparture"":""Tue, 21 May 2019 18:43:33 GMT","""userID"":560}]",,,,,,
5cf9b026f9af8b1738bc2a3e,39,"Mon, 20 May 2019 14:39:36 GMT","Mon, 20 May 2019 21:49:44 GMT","Mon, 20 May 2019 17:14:59 GMT",8.527,2_39_124_558_2019-05-21 14:39:35.972553,2,CA-504,2-39-124-558,America/Los_Angeles,1534,"[{""WhPerMile"":250","kWhRequested"":10.0,""milesRequested"":40,""minutesAvailable"":404,""modifiedAt"":""Tue, 21 May 2019 14:40:46 GMT","paymentRequired"":true,""requestedDeparture"":""Tue, 21 May 2019 21:23:36 GMT","""userID"":1534}]",,,,,,
5cf9b026f9af8b1738bc2a44,39,"Mon, 20 May 2019 15:43:12 GMT","Mon, 20 May 2019 17:11:28 GMT","Mon, 20 May 2019 17:03:07 GMT",7.87,2_39_128_18_2019-05-21 15:43:12.127465,2,CA-308,2-39-128-18,America/Los_Angeles,2354,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Tue, 21 May 2019 15:43:31 GMT","paymentRequired"":true,""requestedDeparture"":""Tue, 21 May 2019 16:43:12 GMT","userID"":2354},{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Tue, 21 May 2019 15:43:52 GMT","paymentRequired"":true,""requestedDeparture"":""Tue, 21 May 2019 16:43:12 GMT","""userID"":2354}]",,,,
5cf9b026f9af8b1738bc2a52,39,"Mon, 20 May 2019 17:01:17 GMT","Mon, 20 May 2019 18:22:16 GMT","Mon, 20 May 2019 18:22:11 GMT",5.263,2_39_92_442_2019-05-21 17:01:16.832451,2,CA-498,2-39-92-442,America/Los_Angeles,336,"[{""WhPerMile"":292","kWhRequested"":17.52,""milesRequested"":60,""minutesAvailable"":181,""modifiedAt"":""Tue, 21 May 2019 17:03:36 GMT","paymentRequired"":true,""requestedDeparture"":""Tue, 21 May 2019 20:02:17 GMT","""userID"":336}]",,,,,,
5cf9b026f9af8b1738bc2a54,39,"Mon, 20 May 2019 17:23:01 GMT","Mon, 20 May 2019 19:35:16 GMT","Mon, 20 May 2019 19:36:15 GMT",6.583,2_39_78_362_2019-05-21 17:23:01.436300,2,CA-496,2-39-78-362,America/Los_Angeles,515,"[{""WhPerMile"":250","kWhRequested"":10.0,""milesRequested"":40,""minutesAvailable"":59,""modifiedAt"":""Tue, 21 May 2019 17:23:17 GMT","paymentRequired"":true,""requestedDeparture"":""Tue, 21 May 2019 18:22:01 GMT","""userID"":515}]",,,,,,
5cf9b026f9af8b1738bc2a60,39,"Mon, 20 May 2019 03:31:18 GMT","Mon, 20 May 2019 04:43:05 GMT","Mon, 20 May 2019 04:43:00 GMT",8.193,2_39_138_29_2019-05-22 03:31:17.764985,2,CA-304,2-39-138-29,America/Los_Angeles,1263,"[{""WhPerMile"":250","kWhRequested"":17.5,""milesRequested"":70,""minutesAvailable"":61,""modifiedAt"":""Wed, 22 May 2019 03:31:51 GMT","paymentRequired"":true,""requestedDeparture"":""Wed, 22 May 2019 04:32:18 GMT","""userID"":1263}]",,,,,,
5cf9b026f9af8b1738bc2a61,39,"Mon, 20 May 2019 04:01:40 GMT","Mon, 20 May 2019 05:18:15 GMT","Mon, 20 May 2019 05:18:10 GMT",4.161,2_39_131_30_2019-05-22 04:01:40.167831,2,CA-305,2-39-131-30,America/Los_Angeles,1161,"[{""WhPerMile"":400","kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":101,""modifiedAt"":""Wed, 22 May 2019 04:02:24 GMT","paymentRequired"":true,""requestedDeparture"":""Wed, 22 May 2019 05:42:40 GMT","""userID"":1161}]",,,,,,
5cfb01a5f9af8b1e6e67daa5,39,"Mon, 20 May 2019 13:33:08 GMT","Mon, 20 May 2019 18:48:43 GMT","Mon, 20 May 2019 17:15:34 GMT",19.197,2_39_88_24_2019-05-22 13:33:07.682861,2,CA-314,2-39-88-24,America/Los_Angeles,560,"[{""WhPerMile"":273","kWhRequested"":21.84,""milesRequested"":80,""minutesAvailable"":312,""modifiedAt"":""Wed, 22 May 2019 13:33:55 GMT","paymentRequired"":true,""requestedDeparture"":""Wed, 22 May 2019 18:45:08 GMT","""userID"":560}]",,,,,,
5cfb01a5f9af8b1e6e67daae,39,"Mon, 20 May 2019 15:24:31 GMT","Mon, 20 May 2019 19:35:17 GMT","Mon, 20 May 2019 16:50:57 GMT",4.558,2_39_131_30_2019-05-22 15:24:31.502430,2,CA-305,2-39-131-30,America/Los_Angeles,562,"[{""WhPerMile"":375","kWhRequested"":7.5,""milesRequested"":20,""minutesAvailable"":211,""modifiedAt"":""Wed, 22 May 2019 15:25:03 GMT","paymentRequired"":true,""requestedDeparture"":""Wed, 22 May 2019 18:55:31 GMT","""userID"":562}]",,,,,,
5cfb01a5f9af8b1e6e67dab1,39,"Mon, 20 May 2019 15:40:01 GMT","Mon, 20 May 2019 17:30:21 GMT","Mon, 20 May 2019 17:01:42 GMT",4.565,2_39_127_19_2019-05-22 15:40:00.585449,2,CA-309,2-39-127-19,America/Los_Angeles,712,"[{""WhPerMile"":600","kWhRequested"":12.0,""milesRequested"":20,""minutesAvailable"":119,""modifiedAt"":""Wed, 22 May 2019 15:40:27 GMT","paymentRequired"":true,""requestedDeparture"":""Wed, 22 May 2019 17:39:01 GMT","""userID"":712}]",,,,,,
5cfb01a5f9af8b1e6e67dab2,39,"Mon, 20 May 2019 15:41:44 GMT","Mon, 20 May 2019 21:31:04 GMT","Mon, 20 May 2019 19:45:27 GMT",0.967,2_39_130_31_2019-05-22 15:41:43.680741,2,CA-306,2-39-130-31,America/Los_Angeles,,,,,,,,,,,
5cfb01a5f9af8b1e6e67dac6,39,"Mon, 20 May 2019 18:27:08 GMT","Mon, 20 May 2019 21:38:03 GMT","Mon, 20 May 2019 21:39:02 GMT",0.972,2_39_90_26_2019-05-22 18:27:07.661175,2,CA-316,2-39-90-26,America/Los_Angeles,,,,,,,,,,,
5cfb01a5f9af8b1e6e67dac7,39,"Mon, 20 May 2019 19:20:18 GMT","Mon, 20 May 2019 20:39:27 GMT","Mon, 20 May 2019 20:39:22 GMT",4.066,2_39_88_24_2019-05-22 19:20:18.083496,2,CA-314,2-39-88-24,America/Los_Angeles,2557,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":35,""modifiedAt"":""Wed, 22 May 2019 19:37:24 GMT","paymentRequired"":true,""requestedDeparture"":""Wed, 22 May 2019 19:55:18 GMT","""userID"":2557}]",,,,,,
5cfb01a5f9af8b1e6e67dace,39,"Mon, 20 May 2019 01:35:36 GMT","Mon, 20 May 2019 04:02:00 GMT","Mon, 20 May 2019 03:10:18 GMT",5.472,2_39_139_28_2019-05-23 01:35:36.407581,2,CA-303,2-39-139-28,America/Los_Angeles,1564,"[{""WhPerMile"":300","kWhRequested"":6.0,""milesRequested"":20,""minutesAvailable"":126,""modifiedAt"":""Thu, 23 May 2019 01:36:23 GMT","paymentRequired"":true,""requestedDeparture"":""Thu, 23 May 2019 03:41:36 GMT","""userID"":1564}]",,,,,,
5cfb01a5f9af8b1e6e67dad0,39,"Mon, 20 May 2019 04:15:43 GMT","Mon, 20 May 2019 05:32:54 GMT","Mon, 20 May 2019 05:32:49 GMT",4.17,2_39_131_30_2019-05-23 04:15:43.425460,2,CA-305,2-39-131-30,America/Los_Angeles,1202,"[{""WhPerMile"":375","kWhRequested"":15.0,""milesRequested"":40,""minutesAvailable"":68,""modifiedAt"":""Thu, 23 May 2019 04:16:18 GMT","paymentRequired"":true,""requestedDeparture"":""Thu, 23 May 2019 05:23:43 GMT","""userID"":1202}]",,,,,,
5cfc532bf9af8b22aca6b294,39,"Mon, 20 May 2019 15:18:53 GMT","Mon, 20 May 2019 19:05:52 GMT","Mon, 20 May 2019 19:06:50 GMT",0.892,2_39_139_28_2019-05-23 15:18:52.656229,2,CA-303,2-39-139-28,America/Los_Angeles,,,,,,,,,,,
5cfc532bf9af8b22aca6b296,39,"Mon, 20 May 2019 15:30:04 GMT","Mon, 20 May 2019 17:53:17 GMT","Mon, 20 May 2019 17:53:13 GMT",8.28,2_39_78_364_2019-05-23 15:30:03.989162,2,CA-495,2-39-78-364,America/Los_Angeles,1524,"[{""WhPerMile"":400","kWhRequested"":12.0,""milesRequested"":30,""minutesAvailable"":353,""modifiedAt"":""Thu, 23 May 2019 15:34:00 GMT","paymentRequired"":true,""requestedDeparture"":""Thu, 23 May 2019 21:23:04 GMT","userID"":1524},{""WhPerMile"":400,""kWhRequested"":12.0,""milesRequested"":30,""minutesAvailable"":150,""modifiedAt"":""Thu, 23 May 2019 16:52:42 GMT","paymentRequired"":true,""requestedDeparture"":""Thu, 23 May 2019 18:00:04 GMT","""userID"":1524}]",,,,
5cfc532bf9af8b22aca6b299,39,"Mon, 20 May 2019 15:52:18 GMT","Mon, 20 May 2019 21:34:00 GMT","Mon, 20 May 2019 21:33:33 GMT",0.717,2_39_78_361_2019-05-23 15:52:17.511259,2,CA-493,2-39-78-361,America/Los_Angeles,,,,,,,,,,,
5cfc532bf9af8b22aca6b2a9,39,"Mon, 20 May 2019 19:06:03 GMT","Mon, 20 May 2019 20:20:09 GMT","Mon, 20 May 2019 20:21:07 GMT",0.901,2_39_139_28_2019-05-23 19:06:03.431899,2,CA-303,2-39-139-28,America/Los_Angeles,,,,,,,,,,,
5cfc532bf9af8b22aca6b2b6,39,"Mon, 20 May 2019 00:28:01 GMT","Mon, 20 May 2019 02:41:33 GMT","Mon, 20 May 2019 01:43:32 GMT",7.884,2_39_130_31_2019-05-24 00:28:01.028040,2,CA-306,2-39-130-31,America/Los_Angeles,1133,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Fri, 24 May 2019 00:28:34 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 01:28:01 GMT","""userID"":1133}]",,,,,,
5cfc532bf9af8b22aca6b2b7,39,"Mon, 20 May 2019 00:51:38 GMT","Mon, 20 May 2019 04:43:06 GMT","Mon, 20 May 2019 04:44:06 GMT",5.679,2_39_78_362_2019-05-24 00:51:38.507040,2,CA-496,2-39-78-362,America/Los_Angeles,1746,"[{""WhPerMile"":600","kWhRequested"":36.0,""milesRequested"":60,""minutesAvailable"":66,""modifiedAt"":""Fri, 24 May 2019 00:54:16 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 01:57:38 GMT","userID"":1746},{""WhPerMile"":600,""kWhRequested"":36.0,""milesRequested"":60,""minutesAvailable"":66,""modifiedAt"":""Fri, 24 May 2019 04:42:44 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 01:57:38 GMT","""userID"":1746}]",,,,
5cfc532bf9af8b22aca6b2b8,39,"Mon, 20 May 2019 01:02:16 GMT","Mon, 20 May 2019 05:13:53 GMT","Mon, 20 May 2019 02:20:25 GMT",3.231,2_39_125_21_2019-05-24 01:02:16.328999,2,CA-311,2-39-125-21,America/Los_Angeles,560,"[{""WhPerMile"":273","kWhRequested"":5.46,""milesRequested"":20,""minutesAvailable"":249,""modifiedAt"":""Fri, 24 May 2019 01:02:49 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 05:11:16 GMT","""userID"":560}]",,,,,,
5cfc532bf9af8b22aca6b2b9,39,"Mon, 20 May 2019 01:13:00 GMT","Mon, 20 May 2019 04:08:30 GMT","Mon, 20 May 2019 02:43:58 GMT",4.892,2_39_139_28_2019-05-24 01:12:59.981601,2,CA-303,2-39-139-28,America/Los_Angeles,2404,"[{""WhPerMile"":250","kWhRequested"":5.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Fri, 24 May 2019 01:13:06 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 02:13:00 GMT","""userID"":2404}]",,,,,,
5cfc532bf9af8b22aca6b2bb,39,"Mon, 20 May 2019 01:51:30 GMT","Mon, 20 May 2019 03:39:09 GMT","Mon, 20 May 2019 03:14:42 GMT",7.651,2_39_127_19_2019-05-24 01:51:29.723054,2,CA-309,2-39-127-19,America/Los_Angeles,675,"[{""WhPerMile"":399","kWhRequested"":7.98,""milesRequested"":20,""minutesAvailable"":104,""modifiedAt"":""Fri, 24 May 2019 01:52:33 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 03:35:30 GMT","userID"":675},{""WhPerMile"":399,""kWhRequested"":19.95,""milesRequested"":50,""minutesAvailable"":104,""modifiedAt"":""Fri, 24 May 2019 01:52:47 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 03:35:30 GMT","""userID"":675}]",,,,
5cfda49df9af8b26b1f05587,39,"Mon, 20 May 2019 13:23:46 GMT","Mon, 20 May 2019 14:25:54 GMT","Mon, 20 May 2019 14:25:46 GMT",3.403,2_39_89_25_2019-05-24 13:23:46.216987,2,CA-315,2-39-89-25,America/Los_Angeles,743,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":70,""modifiedAt"":""Fri, 24 May 2019 13:24:14 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 14:33:46 GMT","""userID"":743}]",,,,,,
5cfda49df9af8b26b1f05588,39,"Mon, 20 May 2019 13:31:28 GMT","Mon, 20 May 2019 19:32:22 GMT","Mon, 20 May 2019 17:09:31 GMT",18.982,2_39_125_21_2019-05-24 13:31:28.010296,2,CA-311,2-39-125-21,America/Los_Angeles,560,"[{""WhPerMile"":273","kWhRequested"":19.11,""milesRequested"":70,""minutesAvailable"":249,""modifiedAt"":""Fri, 24 May 2019 13:31:50 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 17:40:28 GMT","""userID"":560}]",,,,,,
5cfda49df9af8b26b1f0558a,39,"Mon, 20 May 2019 15:09:38 GMT","Mon, 20 May 2019 17:24:59 GMT","Mon, 20 May 2019 16:50:26 GMT",5.661,2_39_131_30_2019-05-24 15:09:37.525706,2,CA-305,2-39-131-30,America/Los_Angeles,1564,"[{""WhPerMile"":300","kWhRequested"":6.0,""milesRequested"":20,""minutesAvailable"":126,""modifiedAt"":""Fri, 24 May 2019 15:10:05 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 17:15:38 GMT","userID"":1564},{""WhPerMile"":300,""kWhRequested"":6.0,""milesRequested"":20,""minutesAvailable"":126,""modifiedAt"":""Fri, 24 May 2019 17:23:18 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 17:15:38 GMT","""userID"":1564}]",,,,
5cfda49df9af8b26b1f05595,39,"Mon, 20 May 2019 16:29:26 GMT","Mon, 20 May 2019 20:33:25 GMT","Mon, 20 May 2019 18:34:04 GMT",6.328,2_39_91_437_2019-05-24 16:29:25.871680,2,CA-317,2-39-91-437,America/Los_Angeles,1222,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":72,""modifiedAt"":""Fri, 24 May 2019 16:29:35 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 17:41:26 GMT","""userID"":1222}]",,,,,,
5cfda49df9af8b26b1f055a3,39,"Mon, 20 May 2019 03:20:40 GMT","Mon, 20 May 2019 05:30:03 GMT","Mon, 20 May 2019 05:09:21 GMT",5.694,2_39_83_386_2019-05-25 03:20:40.071826,2,CA-212,2-39-83-386,America/Los_Angeles,1864,"[{""WhPerMile"":333","kWhRequested"":9.99,""milesRequested"":30,""minutesAvailable"":120,""modifiedAt"":""Sat, 25 May 2019 03:20:48 GMT","paymentRequired"":true,""requestedDeparture"":""Sat, 25 May 2019 05:20:40 GMT","""userID"":1864}]",,,,,,
5cfda49df9af8b26b1f055a4,39,"Mon, 20 May 2019 06:07:31 GMT","Mon, 20 May 2019 19:08:28 GMT","Mon, 20 May 2019 09:44:07 GMT",11.504,2_39_127_19_2019-05-25 06:07:31.077102,2,CA-309,2-39-127-19,America/Los_Angeles,1202,"[{""WhPerMile"":375","kWhRequested"":15.0,""milesRequested"":40,""minutesAvailable"":68,""modifiedAt"":""Sat, 25 May 2019 06:08:16 GMT","paymentRequired"":true,""requestedDeparture"":""Sat, 25 May 2019 07:15:31 GMT","""userID"":1202}]",,,,,,
5cfef610f9af8b2ac3736254,39,"Mon, 20 May 2019 16:34:20 GMT","Mon, 20 May 2019 17:56:14 GMT","Mon, 20 May 2019 17:56:05 GMT",4.56,2_39_79_378_2019-05-25 16:34:19.551439,2,CA-326,2-39-79-378,America/Los_Angeles,1007,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":162,""modifiedAt"":""Sat, 25 May 2019 16:35:14 GMT","paymentRequired"":true,""requestedDeparture"":""Sat, 25 May 2019 19:16:20 GMT","userID"":1007},{""WhPerMile"":400,""kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":172,""modifiedAt"":""Sat, 25 May 2019 16:36:04 GMT","paymentRequired"":true,""requestedDeparture"":""Sat, 25 May 2019 19:26:20 GMT","userID"":1007},{""WhPerMile"":400,""kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":193,""modifiedAt"":""Sat, 25 May 2019 16:36:38 GMT","paymentRequired"":true,""requestedDeparture"":""Sat, 25 May 2019 19:47:20 GMT","userID"":1007},{""WhPerMile"":400,""kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":193,""modifiedAt"":""Sat, 25 May 2019 17:56:04 GMT","paymentRequired"":true,""requestedDeparture"":""Sat, 25 May 2019 19:47:20 GMT","""userID"":1007}]"
5cfef610f9af8b2ac3736256,39,"Mon, 20 May 2019 18:04:47 GMT","Mon, 20 May 2019 20:08:55 GMT","Mon, 20 May 2019 20:08:51 GMT",14.194,2_39_131_30_2019-05-25 18:04:47.110961,2,CA-305,2-39-131-30,America/Los_Angeles,248,"[{""WhPerMile"":250","kWhRequested"":15.0,""milesRequested"":60,""minutesAvailable"":137,""modifiedAt"":""Sat, 25 May 2019 18:05:06 GMT","paymentRequired"":true,""requestedDeparture"":""Sat, 25 May 2019 20:21:47 GMT","""userID"":248}]",,,,,,
5cfef610f9af8b2ac373625c,39,"Mon, 20 May 2019 05:27:48 GMT","Mon, 20 May 2019 14:37:51 GMT","Mon, 20 May 2019 09:52:24 GMT",15.368,2_39_130_31_2019-05-26 05:27:47.511232,2,CA-306,2-39-130-31,America/Los_Angeles,1272,"[{""WhPerMile"":400","kWhRequested"":24.0,""milesRequested"":60,""minutesAvailable"":62,""modifiedAt"":""Sun, 26 May 2019 05:27:54 GMT","paymentRequired"":true,""requestedDeparture"":""Sun, 26 May 2019 06:29:48 GMT","""userID"":1272}]",,,,,,
5d00478ef9af8b2fb7fd4ba9,39,"Mon, 20 May 2019 11:33:54 GMT","Mon, 20 May 2019 15:46:34 GMT","Mon, 20 May 2019 15:41:42 GMT",26,2_39_79_383_2019-05-26 11:33:54.353520,2,CA-492,2-39-79-383,America/Los_Angeles,850,"[{""WhPerMile"":300","kWhRequested"":30.0,""milesRequested"":100,""minutesAvailable"":720,""modifiedAt"":""Sun, 26 May 2019 11:34:03 GMT","paymentRequired"":true,""requestedDeparture"":""Sun, 26 May 2019 23:33:54 GMT","""userID"":850}]",,,,,,
5d00478ef9af8b2fb7fd4baa,39,"Mon, 20 May 2019 14:50:51 GMT","Mon, 20 May 2019 17:06:16 GMT","Mon, 20 May 2019 16:14:58 GMT",4.244,2_39_89_25_2019-05-26 14:50:50.510951,2,CA-315,2-39-89-25,America/Los_Angeles,743,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":74,""modifiedAt"":""Sun, 26 May 2019 14:51:25 GMT","paymentRequired"":true,""requestedDeparture"":""Sun, 26 May 2019 16:04:51 GMT","userID"":743},{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Sun, 26 May 2019 14:51:42 GMT","paymentRequired"":true,""requestedDeparture"":""Sun, 26 May 2019 15:50:51 GMT","""userID"":743}]",,,,
5d00478ef9af8b2fb7fd4bab,39,"Mon, 20 May 2019 16:51:07 GMT","Mon, 20 May 2019 18:27:12 GMT","Mon, 20 May 2019 18:26:51 GMT",10.667,2_39_129_17_2019-05-26 16:51:07.045703,2,CA-307,2-39-129-17,America/Los_Angeles,1346,"[{""WhPerMile"":400","kWhRequested"":32.0,""milesRequested"":80,""minutesAvailable"":60,""modifiedAt"":""Sun, 26 May 2019 16:52:23 GMT","paymentRequired"":true,""requestedDeparture"":""Sun, 26 May 2019 17:51:07 GMT","""userID"":1346}]",,,,,,
5d00478ef9af8b2fb7fd4bb1,39,"Mon, 20 May 2019 04:53:23 GMT","Mon, 20 May 2019 20:45:27 GMT","Mon, 20 May 2019 12:54:28 GMT",52.366,2_39_79_381_2019-05-27 04:53:23.266881,2,CA-490,2-39-79-381,America/Los_Angeles,1286,"[{""WhPerMile"":250","kWhRequested"":52.5,""milesRequested"":210,""minutesAvailable"":392,""modifiedAt"":""Mon, 27 May 2019 05:14:26 GMT","paymentRequired"":true,""requestedDeparture"":""Mon, 27 May 2019 11:25:23 GMT","""userID"":1286}]",,,,,,
5d019910f9af8b3631290962,39,"Mon, 20 May 2019 14:59:07 GMT","Mon, 20 May 2019 16:24:13 GMT","Mon, 20 May 2019 16:24:09 GMT",4.552,2_39_89_25_2019-05-27 14:59:06.605356,2,CA-315,2-39-89-25,America/Los_Angeles,743,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":61,""modifiedAt"":""Mon, 27 May 2019 15:00:25 GMT","paymentRequired"":true,""requestedDeparture"":""Mon, 27 May 2019 16:00:07 GMT","userID"":743},{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Mon, 27 May 2019 15:00:44 GMT","paymentRequired"":true,""requestedDeparture"":""Mon, 27 May 2019 15:59:07 GMT","""userID"":743}]",,,,
5d019910f9af8b3631290963,39,"Mon, 20 May 2019 15:55:25 GMT","Mon, 20 May 2019 19:44:42 GMT","Mon, 20 May 2019 17:56:35 GMT",6.602,2_39_79_379_2019-05-27 15:55:24.883032,2,CA-327,2-39-79-379,America/Los_Angeles,858,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":223,""modifiedAt"":""Mon, 27 May 2019 15:56:03 GMT","paymentRequired"":true,""requestedDeparture"":""Mon, 27 May 2019 19:38:25 GMT","""userID"":858}]",,,,,,
5d019910f9af8b3631290965,39,"Mon, 20 May 2019 16:43:14 GMT","Mon, 20 May 2019 20:05:43 GMT","Mon, 20 May 2019 20:05:36 GMT",6.499,2_39_79_376_2019-05-27 16:43:13.582607,2,CA-324,2-39-79-376,America/Los_Angeles,2461,"[{""WhPerMile"":400","kWhRequested"":12.0,""milesRequested"":30,""minutesAvailable"":260,""modifiedAt"":""Mon, 27 May 2019 18:30:00 GMT","paymentRequired"":true,""requestedDeparture"":""Mon, 27 May 2019 21:03:14 GMT","userID"":2461},{""WhPerMile"":400,""kWhRequested"":12.0,""milesRequested"":30,""minutesAvailable"":260,""modifiedAt"":""Mon, 27 May 2019 20:05:31 GMT","paymentRequired"":true,""requestedDeparture"":""Mon, 27 May 2019 21:03:14 GMT","""userID"":2461}]",,,,
5d019910f9af8b3631290967,39,"Mon, 20 May 2019 18:19:31 GMT","Mon, 20 May 2019 19:47:35 GMT","Mon, 20 May 2019 19:47:15 GMT",9.674,2_39_129_17_2019-05-27 18:19:30.662603,2,CA-307,2-39-129-17,America/Los_Angeles,1346,"[{""WhPerMile"":400","kWhRequested"":32.0,""milesRequested"":80,""minutesAvailable"":60,""modifiedAt"":""Mon, 27 May 2019 18:20:34 GMT","paymentRequired"":true,""requestedDeparture"":""Mon, 27 May 2019 19:19:31 GMT","""userID"":1346}]",,,,,,
5d02eaa0f9af8b3cd89c8017,39,"Mon, 20 May 2019 13:39:29 GMT","Mon, 20 May 2019 19:38:21 GMT","Mon, 20 May 2019 17:20:29 GMT",18.373,2_39_125_21_2019-05-28 13:39:29.391422,2,CA-311,2-39-125-21,America/Los_Angeles,560,"[{""WhPerMile"":273","kWhRequested"":19.11,""milesRequested"":70,""minutesAvailable"":249,""modifiedAt"":""Tue, 28 May 2019 13:39:34 GMT","paymentRequired"":true,""requestedDeparture"":""Tue, 28 May 2019 17:48:29 GMT","""userID"":560}]",,,,,,
5d02eaa0f9af8b3cd89c801d,39,"Mon, 20 May 2019 15:26:11 GMT","Mon, 20 May 2019 19:46:39 GMT","Mon, 20 May 2019 19:46:35 GMT",14.235,2_39_79_378_2019-05-28 15:26:10.682504,2,CA-326,2-39-79-378,America/Los_Angeles,559,"[{""WhPerMile"":313","kWhRequested"":15.65,""milesRequested"":50,""minutesAvailable"":251,""modifiedAt"":""Tue, 28 May 2019 15:29:58 GMT","paymentRequired"":true,""requestedDeparture"":""Tue, 28 May 2019 19:37:11 GMT","""userID"":559}]",,,,,,
5d02eaa0f9af8b3cd89c8020,39,"Mon, 20 May 2019 15:56:03 GMT","Mon, 20 May 2019 18:17:20 GMT","Mon, 20 May 2019 18:14:53 GMT",2.093,2_39_79_381_2019-05-28 15:56:03.105593,2,CA-490,2-39-79-381,America/Los_Angeles,,,,,,,,,,,
